"Property Identification Number","Address","Zip Code","Managing Organization","Owership Status","Building","Zoning","Ward","Community Area","Date Property Was Added","Deed Status","Date Property Was Purchased","Date Property  Was Sold","Date of  Last Update","Event","AIS Category","EDR Complete"
"21-32-205-018-0000","8447 S BURLEY AVE","60617","None","Owned by City","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Partially Verified","10/02/2001","-","11/02/2021","-","-","N"
"20-09-219-031-0000","5018 S WELLS ST","60609","None","Owned by City","-","B1-1","03","FULLER PARK","03/14/2018","Verified","01/25/2005","-","11/02/2021","-","-","N"
"21-31-107-001-0000","2733 E 79TH ST","60649","None","Owned by City","-","B3-2","07","SOUTH CHICAGO","03/14/2018","Verified","06/06/2001","-","11/02/2021","Signal","-","N"
"20-09-419-006-0000","5317 S WENTWORTH AVE","0","AIS","Owned by City","Y","M1-2","03","FULLER PARK","03/14/2018","Partially Verified","09/21/1966","-","11/02/2021","-","-","N"
"13-15-103-004-0000","4611 W LAWRENCE AVE","60630","AIS","Owned by City","Y","B3-1","39","IRVING PARK","03/14/2018","Partially Verified","12/18/1958","-","11/02/2021","-","-","N"
"16-11-105-005-0000","3713 W CHICAGO AVE","60651","None","Owned by City","-","B3-2","27","HUMBOLDT PARK","03/14/2018","Verified","07/02/2014","-","11/02/2021","-","-","N"
"20-03-101-010-0000","3921 S WABASH AVE","0","None","Owned by City","-","RM-6","03","GRAND BOULEVARD","03/14/2018","Verified","12/11/1986","-","11/02/2021","-","-","N"
"11-31-416-080-0000","6512 N CLARK ST","60626","AIS","Owned by City","Y","B3-2","40","ROGERS PARK","03/14/2018","Verified","07/25/1978","-","11/02/2021","-","-","N"
"17-07-203-021-0000","1636 W SUPERIOR ST","60622","AIS","Owned by City","Y","B1-5","01","WEST TOWN","03/14/2018","Verified","09/11/1997","-","11/02/2021","-","-","N"
"20-32-323-002-0000","8607 S ASHLAND AVE","60620","None","Owned by City","-","B1-1","21","AUBURN GRESHAM","03/14/2018","Verified","04/30/1999","-","11/02/2021","-","-","N"
"25-28-103-005-0000","615 W 119TH ST","60628","None","Owned by City","-","B1-1","34","WEST PULLMAN","03/14/2018","Verified","01/10/2005","-","11/02/2021","-","-","N"
"20-16-214-029-0000","-","-","DPD - Open Space","Owned by City","-","-","-","-","11/13/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-16-219-035-0000","5940 S PERRY AVE -N","0","DPD - Open Space","Owned by City","-","-","-","-","11/13/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-16-219-038-0000","5744 S PERRY AVE","60621","DPD - Open Space","Owned by City","-","M1-1","20","WASHINGTON PARK","11/13/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-16-219-040-0000","5750 S PERRY AVE","60621","DPD - Open Space","Owned by City","-","M1-1","20","WASHINGTON PARK","11/13/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-16-220-001-0000","50 W 57TH PL","0","DPD - Open Space","Owned by City","-","C2-1","20","WASHINGTON PARK","11/13/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-16-220-002-0000","45 W 57TH PL","0","DPD - Open Space","Owned by City","-","RS-3","20","WASHINGTON PARK","11/13/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-16-220-004-0000","5741 S PERRY AVE","60621","DPD - Open Space","Owned by City","-","RS-3","20","WASHINGTON PARK","11/13/2017","Unverified","-","-","11/02/2021","-","-","N"
"20-16-220-006-0000","5749 S PERRY AVE","60621","DPD - Open Space","Owned by City","-","RS-3","20","WASHINGTON PARK","11/13/2017","Unverified","-","-","11/02/2021","-","-","N"
"25-24-209-029-0000","11612 S TORRENCE AVE","60617","Park District","Leased","-","M3-3","10","SOUTH DEERING","11/13/2017","Verified","11/13/2001","-","11/29/2021","-","-","N"
"25-25-215-034-0000","12322 S TORRENCE AVE","0","Park District","Leased","-","POS-3","10","SOUTH DEERING","11/13/2017","Partially Verified","01/23/2002","-","11/29/2021","-","-","N"
"21-32-205-025-0000","8408 S BUFFALO AVE","60617","-","Owned by City","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Partially Verified","10/15/1996","-","11/02/2021","-","-","N"
"21-32-205-028-0000","8416 S BUFFALO AVE","60617","-","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"21-32-205-037-0000","8434 S BUFFALO AVE","60617","None","Owned by City","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Partially Verified","12/11/2000","-","11/02/2021","-","-","N"
"21-32-206-020-0000","8457 S BUFFALO AVE","60617","-","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"21-32-206-021-0000","8459 S BUFFALO AVE","60617","-","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Partially Verified","01/13/1995","07/20/2007","11/02/2021","-","-","N"
"21-32-207-021-0000","8453 S MACKINAW AVE","60617","DPD - Large Lots","Owned by City","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"21-32-207-037-0000","8436 S GREEN BAY AVE","60617","DPD - Large Lots","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","02/23/2018","11/02/2021","-","-","N"
"21-32-208-002-0000","8503 S BRANDON AVE","60617","-","Owned by City","-","B2-2","10","SOUTH CHICAGO","05/26/2017","Partially Verified","01/26/2001","-","11/02/2021","-","-","N"
"21-32-208-006-0000","8517 S BRANDON AVE","60617","-","Owned by City","-","B2-2","10","SOUTH CHICAGO","05/26/2017","Partially Verified","03/02/2006","-","11/02/2021","-","-","N"
"21-32-208-007-0000","8517 S BRANDON AVE","60617","-","Owned by City","-","B2-2","10","SOUTH CHICAGO","05/26/2017","Partially Verified","07/15/1997","-","11/02/2021","-","-","N"
"21-32-208-024-0000","8540 S BURLEY AVE","60617","-","Owned by City","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Partially Verified","11/13/2000","-","11/02/2021","-","-","N"
"21-32-208-030-0000","8556 S BURLEY AVE","60617","DPD - Large Lots","Owned by City","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Verified","10/30/2000","-","11/02/2021","-","-","N"
"21-32-209-005-0000","8513 S BURLEY AVE","60617","DPD - Large Lots","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","03/20/2018","11/02/2021","-","-","N"
"21-32-209-019-0000","8549 S BURLEY AVE","60617","DPD - Large Lots","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","11/14/2017","11/02/2021","-","-","N"
"21-32-210-001-0000","8501 S BUFFALO AVE","60617","-","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Partially Verified","11/22/2000","03/23/2011","11/02/2021","-","-","N"
"25-09-407-010-0000","9923 S LAFAYETTE AVE","60628","DPD - Large Lots","Sold","-","RS-2","09","ROSELAND","05/26/2017","Unverified","-","12/05/2017","11/02/2021","-","-","N"
"25-09-412-008-0000","10023 S WENTWORTH AVE","60628","DPD - Large Lots","Sold","-","RS-2","9","ROSELAND","05/26/2017","Unverified","-","06/05/2020","11/02/2021","-","-","N"
"25-09-414-015-0000","10043 S PERRY AVE","60628","-","Sold","-","RS-2","09","ROSELAND","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"25-09-415-004-0000","10010 S STATE ST","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","01/23/2008","-","11/02/2021","-","-","N"
"25-09-416-018-0000","348 W 101ST PL","60628","None","Owned by City","-","RS-2","09","ROSELAND","05/26/2017","Partially Verified","04/20/2005","-","11/02/2021","-","-","N"
"25-09-422-013-0000","10139 S PERRY AVE","60628","None","Owned by City","-","RS-2","09","ROSELAND","05/26/2017","Partially Verified","09/16/2011","-","11/02/2021","-","-","N"
"25-09-422-025-0000","10120 S LAFAYETTE AVE","60628","None","Owned by City","-","RS-2","09","ROSELAND","05/26/2017","Partially Verified","06/18/1985","-","11/02/2021","-","-","N"
"25-09-423-015-0000","10157 S LAFAYETTE AVE","60628","None","Owned by City","-","RS-2","09","ROSELAND","05/26/2017","Partially Verified","12/02/2008","-","11/02/2021","-","-","N"
"25-09-427-033-0000","158 W 103RD ST","60628","-","Owned by City","-","B3-1","09","ROSELAND","05/26/2017","Partially Verified","06/25/1997","-","11/02/2021","-","-","N"
"25-10-301-038-0000","34 E 100TH ST","60628","DPD - Large Lots","Sold","-","RS-3","09","ROSELAND","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"25-10-308-011-0000","15 E 100TH ST","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","08/04/1998","-","11/02/2021","-","-","N"
"25-10-308-012-0000","17 E 100TH ST","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","08/04/1998","-","11/02/2021","-","-","N"
"25-10-308-045-0000","52 E 100TH PL","60628","DPD - Large Lots","Sold","-","RS-3","09","ROSELAND","05/26/2017","Unverified","-","03/19/2018","11/02/2021","-","-","N"
"25-10-308-046-0000","54 E 100TH PL","60628","DPD - Large Lots","Sold","-","RS-3","09","ROSELAND","05/26/2017","Unverified","-","03/19/2018","11/02/2021","-","-","N"
"25-10-309-022-0000","53 E 100TH PL","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","08/30/2005","-","11/02/2021","-","-","N"
"25-10-310-035-0000","10059 S MICHIGAN AVE","60628","-","Owned by City","-","C1-1","09","ROSELAND","05/26/2017","Partially Verified","01/04/2002","-","11/02/2021","-","-","N"
"25-10-316-023-0000","57 E 101ST PL","60628","DPD - Large Lots","Sold","-","RS-3","09","ROSELAND","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"25-10-317-035-0000","10122 S INDIANA AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","02/09/1995","-","11/02/2021","Signal","-","N"
"25-10-322-019-0000","51 E 102ND ST","60628","-","Sold","-","RS-3","09","ROSELAND","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"25-10-323-048-0000","28 E 103RD ST","60628","-","Owned by City","-","B3-1","09","ROSELAND","05/26/2017","Partially Verified","10/16/2006","-","11/02/2021","-","-","N"
"25-10-324-001-0000","10205 S MICHIGAN AVE","60628","-","Owned by City","-","C1-1","09","ROSELAND","05/26/2017","Partially Verified","12/11/2000","-","11/02/2021","-","-","N"
"25-10-324-002-0000","10207 S MICHIGAN AVE","60628","-","Owned by City","-","C1-1","09","ROSELAND","05/26/2017","Partially Verified","12/11/2000","-","11/02/2021","-","-","N"
"25-17-223-006-0000","10617 S RACINE AVE","60643","-","Sold","-","RT-4","34","WASHINGTON HEIGHTS","05/26/2017","Partially Verified","03/19/1991","03/19/2004","11/02/2021","-","-","N"
"25-17-302-009-0000","10757 S GLENROY AVE","60643","None","Owned by City","-","RT-4","34","MORGAN PARK","05/26/2017","Partially Verified","09/07/2006","-","11/02/2021","-","-","N"
"25-21-428-009-0000","11839 S PERRY AVE","60628","-","Sold","-","RS-3","34","WEST PULLMAN","05/26/2017","Partially Verified","07/31/1992","11/05/2008","11/02/2021","-","-","N"
"20-26-412-010-0000","7653 S SOUTH CHICAGO AVE","60619","None","Owned by City","-","C1-2","05","SOUTH SHORE","03/14/2018","Verified","03/16/1995","-","11/02/2021","-","-","N"
"20-26-111-036-0000","1022 E 73RD ST","60619","AIS","Owned by City","Y","B3-2","05","GREATER GRAND CROSSING","03/14/2018","Verified","05/17/2012","-","11/02/2021","-","-","N"
"20-03-211-030-0000","4012 S COTTAGE GROVE AVE","60653","None","Owned by City","-","C1-3","04","GRAND BOULEVARD","03/14/2018","Verified","12/27/1978","-","11/02/2021","-","-","N"
"17-17-102-012-0000","1412 W MADISON ST","0","AIS","Owned by City","Y","C2-3","27","NEAR WEST SIDE","03/14/2018","Partially Verified","-","-","11/02/2021","-","-","N"
"25-04-412-024-0000","158 W 95TH ST","60628","None","Owned by City","-","B1-1","21","ROSELAND","03/14/2018","Partially Verified","09/02/1970","-","11/02/2021","-","-","N"
"20-09-316-005-0000","5311 S HALSTED ST","60609","None","Owned by City","-","C1-2","20","NEW CITY","03/14/2018","Verified","02/05/2002","-","11/02/2021","-","-","N"
"20-17-400-005-0000","1147 W 59TH ST","60621","None","Owned by City","-","B3-1","16","ENGLEWOOD","03/14/2018","Verified","03/26/1991","-","11/02/2021","-","-","N"
"25-22-101-008-0000","23 E 111TH PL","60628","None","Owned by City","-","B3-2","9","ROSELAND","05/26/2017","Partially Verified","10/12/2004","-","11/02/2021","Study Area","-","N"
"25-22-101-009-0000","25 E 111TH PL","60628","None","Owned by City","-","B3-2","9","ROSELAND","05/26/2017","Partially Verified","07/28/2005","-","11/02/2021","Study Area","-","N"
"25-22-101-010-0000","27 E 111TH PL","60628","None","Owned by City","-","B3-2","9","ROSELAND","05/26/2017","Partially Verified","12/29/2004","-","11/02/2021","Study Area","-","N"
"25-22-101-011-0000","29 E 111TH PL","60628","None","Owned by City","-","B3-2","9","ROSELAND","05/26/2017","Partially Verified","12/29/2004","-","11/02/2021","Study Area","-","N"
"25-22-101-023-0000","24 E 112TH ST","60628","None","Owned by City","-","B1-2","9","ROSELAND","05/26/2017","Partially Verified","02/07/2005","-","11/02/2021","Study Area","-","N"
"25-22-101-024-0000","26 E 112TH ST","60628","None","Owned by City","-","B1-2","9","ROSELAND","05/26/2017","Partially Verified","02/07/2005","-","11/02/2021","Study Area","-","N"
"25-22-101-025-0000","30 E 112TH ST","60628","None","Owned by City","-","B1-2","9","ROSELAND","05/26/2017","Partially Verified","02/10/2005","-","11/02/2021","Study Area","-","N"
"25-22-101-026-0000","32 E 112TH ST","60628","None","Owned by City","-","B1-2","9","ROSELAND","05/26/2017","Partially Verified","02/10/2005","-","11/02/2021","Study Area","-","N"
"25-22-101-027-0000","34 E 112TH ST","60628","None","Owned by City","-","B1-2","9","ROSELAND","05/26/2017","Partially Verified","02/10/2005","-","11/02/2021","Study Area","-","N"
"25-22-102-027-0000","11120 S EDBROOKE AVE","60628","DPD - Large Lots","Sold","-","RT-4","09","ROSELAND","05/26/2017","Unverified","-","11/14/2017","11/02/2021","-","-","N"
"25-22-102-028-0000","11126 S EDBROOKE AVE","60628","DPD - Large Lots","Sold","-","RT-4","09","ROSELAND","05/26/2017","Unverified","-","11/14/2017","11/02/2021","-","-","N"
"25-22-102-035-0000","11152 S EDBROOKE AVE","60628","None","Owned by City","-","B1-3","9","ROSELAND","05/26/2017","Partially Verified","-","-","11/02/2021","Study Area","-","N"
"25-22-106-022-0000","26 E 113TH ST","60628","-","Owned by City","-","B3-2","09","ROSELAND","05/26/2017","Partially Verified","04/22/2004","-","11/02/2021","-","-","N"
"21-32-210-002-0000","8505 S BUFFALO AVE","60617","-","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"21-32-210-037-0000","8540 S MACKINAW AVE","60617","-","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"21-32-210-044-0000","8556 S MACKINAW AVE","60617","-","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"21-32-210-045-0000","8558 S MACKINAW AVE","60617","DPD - Large Lots","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","12/14/2017","11/02/2021","-","-","N"
"21-32-211-017-0000","8547 S MACKINAW AVE","60617","DPD - Large Lots","Sold","-","RT-4","10","SOUTH CHICAGO","05/26/2017","Unverified","-","03/20/2018","11/02/2021","-","-","N"
"25-10-324-003-0000","10207 S MICHIGAN AVE","60628","-","Owned by City","-","C1-1","09","ROSELAND","05/26/2017","Partially Verified","12/11/2000","-","11/02/2021","-","-","N"
"25-10-324-004-0000","10209 S MICHIGAN AVE","60628","-","Owned by City","-","C1-1","09","ROSELAND","05/26/2017","Partially Verified","12/11/2000","-","11/02/2021","-","-","N"
"25-10-324-006-0000","10215 S MICHIGAN AVE","60628","-","Owned by City","-","C1-1","09","ROSELAND","05/26/2017","Partially Verified","02/27/2001","-","11/02/2021","-","-","N"
"25-10-324-007-0000","10217 S MICHIGAN AVE","60628","-","Owned by City","-","C1-1","09","ROSELAND","05/26/2017","Partially Verified","12/11/2000","-","11/02/2021","-","-","N"
"25-10-324-017-0000","10247 S MICHIGAN AVE","60628","-","Owned by City","-","B3-1","09","ROSELAND","05/26/2017","Partially Verified","04/09/2002","-","11/02/2021","-","-","N"
"25-10-324-036-0000","122 E 103RD ST","60628","-","Owned by City","-","B3-2","09","ROSELAND","05/26/2017","Partially Verified","05/12/2005","-","11/02/2021","-","-","N"
"25-10-324-039-0000","132 E 103RD ST","60628","-","Owned by City","-","B3-2","09","ROSELAND","05/26/2017","Partially Verified","05/02/2005","-","11/02/2021","-","-","N"
"25-11-100-032-0000","9657 S COTTAGE GROVE AVE","60628","-","Owned by City","-","M3-3","08","PULLMAN","05/26/2017","Partially Verified","06/02/2003","-","11/02/2021","-","-","N"
"25-11-100-033-0000","9661 S COTTAGE GROVE AVE","60628","-","Owned by City","-","M3-3","08","PULLMAN","05/26/2017","Partially Verified","06/02/2003","-","11/02/2021","-","-","N"
"25-11-100-034-0000","9661 S COTTAGE GROVE AVE","60628","-","Owned by City","-","M3-3","08","PULLMAN","05/26/2017","Partially Verified","06/02/2003","-","11/02/2021","-","-","N"
"25-11-103-002-0000","1105 E 95TH ST","60619","-","Sold","-","C1-1","08","PULLMAN","05/26/2017","Partially Verified","01/27/2000","08/18/2016","11/02/2021","-","-","N"
"25-11-103-003-0000","1107 E 95TH ST","60619","-","Sold","-","C1-1","08","PULLMAN","05/26/2017","Partially Verified","01/27/2000","08/18/2016","11/02/2021","-","-","N"
"25-11-103-004-0000","1109 E 95TH ST","60619","-","Sold","-","C1-1","08","PULLMAN","05/26/2017","Partially Verified","01/27/2000","08/18/2016","11/02/2021","-","-","N"
"25-11-103-005-0000","1113 E 95TH ST","60619","-","Sold","-","C1-1","08","PULLMAN","05/26/2017","Partially Verified","01/27/2000","08/18/2016","11/02/2021","-","-","N"
"25-17-303-008-0000","10717 S GLENROY AVE","60643","-","Owned by City","-","RT-4","34","MORGAN PARK","05/26/2017","Partially Verified","03/18/2009","-","11/02/2021","-","-","N"
"25-17-304-005-0000","1349 W 107TH ST","60643","-","Sold","-","RT-4","34","MORGAN PARK","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"25-17-307-005-0000","1245 W 107TH PL","60643","None","Owned by City","-","RS-3","34","MORGAN PARK","05/26/2017","Partially Verified","07/25/2006","-","11/02/2021","-","-","N"
"25-17-309-012-0000","10826 S BISHOP ST","0","None","Owned by City","-","RS-3","34","MORGAN PARK","05/26/2017","Partially Verified","07/25/2006","-","11/02/2021","-","-","N"
"25-17-309-013-0000","10840 S BISHOP ST","0","None","Owned by City","-","RS-3","34","MORGAN PARK","05/26/2017","Partially Verified","07/25/2006","-","11/02/2021","-","-","N"
"25-22-107-011-0000","11235 S MICHIGAN AVE","60628","None","Owned by City","-","B3-3","9","ROSELAND","05/26/2017","Partially Verified","01/26/1981","-","11/02/2021","-","-","N"
"25-22-110-020-0000","26 E 114TH ST","60628","AIS","Owned by City","Y","B3-2","09","ROSELAND","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"25-22-112-004-0000","11315 S MICHIGAN AVE","60628","-","Owned by City","-","B3-2","09","ROSELAND","05/26/2017","Partially Verified","02/04/1980","-","11/02/2021","-","-","N"
"25-22-112-007-0000","11327 S MICHIGAN AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","06/19/2002","-","11/02/2021","-","-","N"
"25-22-112-009-0000","11339 S MICHIGAN AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","06/03/2002","-","11/02/2021","-","-","N"
"25-22-112-010-0000","11341 S MICHIGAN AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","01/12/1995","-","11/02/2021","-","-","N"
"25-22-112-011-0000","11343 S MICHIGAN AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","03/01/2005","-","11/02/2021","-","-","N"
"25-22-112-025-0000","11417 S MICHIGAN AVE","60628","-","Owned by City","-","C1-3","09","ROSELAND","05/26/2017","Partially Verified","10/16/1985","-","11/02/2021","-","-","N"
"25-22-112-026-0000","11421 S MICHIGAN AVE","60628","-","Owned by City","-","B3-2","09","ROSELAND","05/26/2017","Partially Verified","06/19/2002","-","11/02/2021","-","-","N"
"25-22-112-030-0000","11310 S EDBROOKE AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","01/25/1999","-","11/02/2021","-","-","N"
"25-22-113-006-0000","11315 S EDBROOKE AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","03/01/2011","-","11/02/2021","-","-","N"
"25-22-113-015-0000","11341 S EDBROOKE AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","09/20/1984","-","11/02/2021","-","-","N"
"25-22-113-020-0000","11353 S EDBROOKE AVE","60628","None","Owned by City","-","RS-3","09","ROSELAND","05/26/2017","Partially Verified","07/22/2013","-","11/02/2021","-","-","N"
"25-19-413-007-0000","11827 S CHURCH ST","0","None","Owned by City","-","-","-","-","05/26/2017","Partially Verified","08/26/2002","-","11/02/2021","-","-","N"
"25-19-413-008-0000","11835 S CHURCH ST","0","None","Owned by City","-","-","-","-","05/26/2017","Partially Verified","03/27/2002","-","11/02/2021","-","-","N"
"25-20-102-040-0000","1428 W 112TH ST","60643","DPD - Large Lots","Owned by City","-","RS-2","34","MORGAN PARK","05/26/2017","Unverified","-","-","11/09/2021","-","B","Y"
"25-20-103-019-0000","1313 W 111TH ST","60643","-","Sold","-","B1-1","34","MORGAN PARK","05/26/2017","Unverified","-","-","11/02/2021","-","-","N"
"25-20-104-037-0000","1300 W 112TH ST","60643","None","Owned by City","-","RS-2","34","MORGAN PARK","05/26/2017","Partially Verified","06/02/1999","-","11/02/2021","-","-","N"
"25-20-113-021-0000","11307 S LAFLIN ST","60643","None","Sold","-","RS-2","34","MORGAN PARK","05/26/2017","Partially Verified","03/13/1998","10/11/2017","11/02/2021","-","-","N"
"25-20-113-051-0000","11305 S LAFLIN ST","60643","DPD - Large Lots","Sold","-","RS-2","34","MORGAN PARK","05/26/2017","Unverified","-","12/08/2017","11/02/2021","-","-","N"
"25-20-121-007-0000","1419 W 113TH PL","60643","None","Owned by City","-","RS-2","34","MORGAN PARK","05/26/2017","Partially Verified","12/09/1994","-","11/02/2021","-","-","N"
"25-20-127-030-0000","1442 W 115TH ST","60643","DPD - Large Lots","Owned by City","-","RS-2","34","MORGAN PARK","05/26/2017","Verified","08/07/2002","-","11/02/2021","-","-","N"
"25-24-206-001-0000","11601 S YATES AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","11/13/2001","-","11/29/2021","-","-","N"
"25-24-206-002-0000","11603 S YATES AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-003-0000","11605 S YATES AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-004-0000","11609 S YATES AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-005-0000","11611 S YATES AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-006-0000","11638 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/27/2005","-","11/29/2021","-","-","N"
"25-24-206-022-0000","11600 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-206-023-0000","11602 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/11/2001","-","11/29/2021","-","-","N"
"25-24-206-025-0000","11608 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/13/2001","-","11/29/2021","-","-","N"
"25-24-206-026-0000","11610 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/13/2001","-","11/29/2021","-","-","N"
"25-24-206-027-0000","11612 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-028-0000","11614 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-029-0000","11618 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-030-0000","11620 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-031-0000","11622 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-032-0000","11624 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-033-0000","11628 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-034-0000","11630 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-035-0000","11632 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-036-0000","11634 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/01/2001","-","11/29/2021","-","-","N"
"25-24-206-046-0000","11638 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/27/2005","-","11/29/2021","-","-","N"
"25-24-206-047-0000","11648 S BENSLEY AVE","60617","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/27/2005","-","11/29/2021","-","-","N"
"25-24-206-048-0000","11639 S YATES AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","01/27/2005","-","11/29/2021","-","-","N"
"25-24-207-001-0000","11601 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","05/14/2001","-","11/29/2021","-","-","N"
"25-24-207-002-0000","11603 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/13/2001","-","11/29/2021","-","-","N"
"25-24-207-003-0000","11605 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/13/2001","-","11/29/2021","-","-","N"
"25-24-207-004-0000","11609 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/13/2001","-","11/29/2021","-","-","N"
"25-24-207-005-0000","11611 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/13/2001","-","11/29/2021","-","-","N"
"25-24-207-006-0000","11613 S BENSLEY AVE","0","Park District","Leased","-","-","-","-","05/26/2017","Partially Verified","07/13/2001","-","11/29/2021","-","-","N"
"25-03-422-023-0000","725 E 93RD ST","60619","None","Owned by City","-","RS-3","09","CHATHAM","05/26/2017","Partially Verified","01/12/1995","-","11/02/2021","-","-","N"
